cli_status: synthesized  
repair_loops: 1  
syntax_repair_loops: 1  
unrealizable_repair_loops: 0  
test_repair_loops: 0  
timeout_seconds: 120  
used_counter_strategy: false  
blocked_by_nl_conflict: false  
diagnostic_file: none  
test_plan_file: `tmp/spectra-runs/20260619-113335-minepump/tests/test-plan-1.json`  
test_result_file: `tmp/spectra-runs/20260619-113335-minepump/tests/test-results-1.json`  
tests_total: 3  
tests_passed: 3  
tests_failed: 0  
spectra_file: `tmp/spectra-runs/20260619-113335-minepump/Minepump.spectra`  
controller_output_dir: `tmp/spectra-runs/20260619-113335-minepump/synthesis`

Note: the initial methane/pump relation had to be represented as `gar ini methane -> !pump` because Spectra rejects `asm ini` formulas that mention system variables.
