cli_status: synthesized
repair_loops: 1
syntax_repair_loops: 1
unrealizable_repair_loops: 0
test_repair_loops: 0
timeout_seconds: 120
used_counter_strategy: false
blocked_by_nl_conflict: false
diagnostic_file: none
test_plan_file: `tmp/spectra-runs/20260625-135846-minepump/tests/test-plan-1.json`
test_result_file: `tmp/spectra-runs/20260625-135846-minepump/tests/test-results-1.json`
tests_total: 4
tests_passed: 4
tests_failed: 0
spectra_file: `tmp/spectra-runs/20260625-135846-minepump/Minepump.spectra`
controller_output_dir: `tmp/spectra-runs/20260625-135846-minepump/synthesis`

Note: the single repair was a syntax/GR(1)-shape repair. I added `pumpPreviouslyOn` as an internal system memory bit because Spectra disallowed nested `next` and primed system variables inside the environment assumption.
